,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
270,Seredka,20,RU,1579943057,74,58.16,28.19,37.4,15.66
271,Pasighat,0,IN,1579943058,57,28.07,95.33,63.95,1.48
272,Tuatapere,30,NZ,1579943059,87,-46.13,167.68,50.76,1.5
273,Laguna,90,US,1579943060,90,38.42,-121.42,54.0,3.22
274,Hamilton,90,US,1579942792,86,39.18,-84.53,37.99,5.82
275,Tyup,0,KG,1579943063,78,42.73,78.36,26.6,3.38
276,Isangel,4,VU,1579942677,82,-19.55,169.27,78.44,12.15
277,Ranong,40,TH,1579943065,44,9.97,98.63,93.2,6.93
278,Yangi Marg`ilon,37,UZ,1579943066,54,40.43,71.72,42.8,2.24
279,Beipiao,0,CN,1579943068,75,41.79,120.78,18.64,4.94
280,Tottori,75,JP,1579942850,74,35.5,134.23,46.4,16.11
281,Rio de Janeiro,75,BR,1579943070,88,-22.9,-43.21,73.4,3.36
282,Indianola,90,US,1579943071,86,41.36,-93.56,30.2,11.41
283,Yokadouma,24,CM,1579943073,10,3.52,15.05,86.31,6.49
284,Paengaroa,0,NZ,1579943074,90,-37.82,176.42,68.0,1.81
285,Isiro,100,CD,1579943075,15,2.77,27.62,86.02,6.22
286,Casablanca,90,MA,1579942778,100,33.59,-7.62,55.99,16.11
287,Leisure City,90,US,1579943077,93,25.5,-80.43,69.8,5.82
288,Tura,1,IN,1579943079,38,25.52,90.22,75.15,3.76
289,The Valley,75,AI,1579943080,83,18.22,-63.06,77.0,5.82
290,Bilibino,98,RU,1579943081,92,68.05,166.44,-15.83,2.55
291,Sokolo,100,ML,1579943082,7,14.73,-6.12,79.7,14.16
292,Mount Vernon,90,US,1579943084,86,40.91,-73.84,42.01,10.22
293,Mabaruma,36,GY,1579943085,99,8.2,-59.78,67.78,1.74
294,Norman Wells,90,CA,1579942670,76,65.28,-126.83,-7.6,8.05
295,Sola,0,VU,1579942659,80,-13.88,167.55,82.15,15.68
296,Pevek,100,RU,1579942678,96,69.7,170.31,-20.61,5.55
297,Moses Lake,20,US,1579943090,92,47.13,-119.28,42.01,5.82
298,Kruisfontein,0,ZA,1579943091,53,-34.0,24.73,80.69,8.75
299,Margate,75,GB,1579942656,93,51.38,1.39,42.01,9.17
300,Wajir,100,KE,1579943094,42,1.75,40.06,91.9,13.56
301,Banda Aceh,95,ID,1579942503,54,5.56,95.32,87.53,8.97
302,Namie,75,JP,1579943097,47,37.48,141.0,36.0,12.75
303,Muncar,33,ID,1579943098,72,-8.43,114.33,84.15,12.37
304,Te Anau,19,NZ,1579943099,88,-45.42,167.72,58.51,2.1
305,Teeli,100,RU,1579943100,88,51.03,90.23,6.51,2.66
306,Vardo,40,NO,1579942984,79,70.37,31.11,21.2,16.11
307,Teknaf,0,BD,1579943103,29,20.86,92.31,76.86,6.91
308,Shonguy,75,RU,1579943104,84,68.75,33.15,3.2,1.72
309,Saint Anthony,90,US,1579943105,86,45.02,-93.22,30.2,9.17
310,Karpathos,20,GR,1579942670,58,35.51,27.21,59.0,11.41
311,Tevaitoa,2,PF,1579943108,77,-16.78,-151.5,82.06,12.88
312,Biloela,100,AU,1579943109,90,-24.42,150.5,74.32,5.08
313,Mount Isa,75,AU,1579943110,100,-20.73,139.5,77.0,6.93
314,Vanavara,100,RU,1579943111,97,60.34,102.28,21.45,3.83
315,Sobolevo,100,RU,1579943113,90,54.43,31.9,36.37,16.58
316,Tandil,99,AR,1579943114,93,-37.32,-59.13,64.0,0.11
317,Buraidah,0,SA,1579942528,57,26.33,43.98,50.0,17.22
318,Waipawa,100,NZ,1579943117,88,-41.41,175.52,66.99,16.11
319,Northam,75,GB,1579942520,93,51.03,-4.22,45.0,6.93
320,Novopavlovka,35,RU,1579943119,87,51.22,109.21,10.09,0.81
321,Bauska,40,LV,1579943120,86,56.41,24.19,37.4,5.82
322,Necochea,100,AR,1579943122,98,-38.55,-58.74,55.99,1.01
323,Kailua,20,US,1579943123,73,21.4,-157.74,73.4,5.82
324,Umm Kaddadah,0,SD,1579943124,18,13.6,26.69,65.21,21.65
325,Vostok,46,RU,1579943126,99,46.49,135.88,-11.54,3.69
326,Dukat,100,RU,1579942615,97,62.55,155.55,-31.02,6.55
327,George Town,20,MY,1579943043,66,5.41,100.34,89.6,12.75
328,Cadillac,90,US,1579943130,99,44.25,-85.4,34.0,3.36
329,Tautira,20,PF,1579943131,74,-17.73,-149.15,80.6,3.36
330,Dikson,100,RU,1579943132,94,73.51,80.55,-2.54,8.12
331,Haines Junction,97,CA,1579943133,98,60.75,-137.51,-13.18,6.35
332,Wad Rawah,0,SD,1579943135,16,15.16,33.14,76.28,15.43
333,Dalaba,14,GN,1579943136,13,10.7,-12.25,74.53,3.65
334,Bajil,68,YE,1579943138,64,15.06,43.29,73.74,6.82
335,Otane,74,NZ,1579943139,84,-39.88,176.63,66.0,2.26
336,Ossora,100,RU,1579943140,95,59.24,163.07,30.04,28.97
337,Goderich,100,CA,1579943141,86,43.75,-81.72,39.99,8.68
338,Saint-Philippe,100,RE,1579942670,78,-21.36,55.77,86.0,19.46
339,Barra do Garcas,2,BR,1579943144,98,-15.89,-52.26,70.09,3.27
340,Meulaboh,3,ID,1579943145,70,4.14,96.13,85.53,9.62
341,Nioro,33,GM,1579943146,20,13.35,-15.75,83.3,12.62
342,Seymchan,100,RU,1579942678,97,62.88,152.43,-27.24,7.23
343,East London,0,ZA,1579942655,54,-33.02,27.91,82.4,8.05
344,Vanimo,0,PG,1579943150,79,-2.67,141.3,83.59,13.56
345,Chalinze,100,TZ,1579943151,92,-6.64,38.35,77.88,3.09
346,Port Hedland,0,AU,1579943152,59,-20.32,118.57,95.0,18.34
347,Aden,53,YE,1579943087,56,12.78,45.04,83.91,10.11
348,Shache,69,CN,1579943155,41,38.42,77.24,34.81,3.11
349,San Cristobal,100,VE,1579943156,95,7.77,-72.22,53.31,2.37
350,Hoi An,20,VN,1579943157,74,15.88,108.33,78.8,10.29
351,San Juan,1,AR,1579943159,33,-31.54,-68.54,82.0,2.59
352,Tara,100,RU,1579943160,93,56.89,74.37,10.04,9.42
353,Natal,75,BR,1579943037,88,-5.79,-35.21,78.8,3.36
354,Kenai,1,US,1579943162,83,60.55,-151.26,12.0,3.36
355,Chunoyar,100,RU,1579943164,91,57.45,97.32,26.26,5.86
356,Valparaiso,90,CL,1579943165,93,-33.04,-71.63,60.8,2.3
357,Airai,100,TL,1579943166,93,-8.93,125.41,72.54,2.08
358,Ambon,40,ID,1579943148,66,-3.7,128.18,87.8,12.75
359,Marand,0,IR,1579943169,57,38.43,45.77,26.6,9.17
360,Celestun,0,MX,1579943170,79,20.87,-90.4,72.23,13.04
361,Rawson,1,AR,1579942652,73,-43.3,-65.1,61.18,14.5
362,Saint-Pierre-des-Corps,19,FR,1579943172,100,47.38,0.73,37.0,3.36
363,Laas,20,IT,1579943174,85,46.62,10.7,37.99,2.24
364,Bocanda,0,CI,1579943175,34,7.06,-4.5,82.15,2.53
365,Namatanai,32,PG,1579943176,75,-3.67,152.43,83.71,9.28
366,La Orilla,33,MX,1579943177,85,17.98,-102.23,72.28,4.32
367,Dzilam Gonzalez,22,MX,1579943178,75,21.28,-88.93,73.44,10.94
368,Sept-Iles,5,CA,1579943175,83,50.2,-66.38,-4.0,3.36
369,Cap Malheureux,75,MU,1579943181,78,-19.98,57.61,84.0,19.46
370,Safranbolu,0,TR,1579942997,85,41.25,32.69,34.84,4.0
371,Pitimbu,40,BR,1579943184,94,-7.47,-34.81,77.0,4.7
372,Sebrovo,100,RU,1579943185,88,50.1,43.3,36.0,1.99
373,Acapulco de Juarez,40,MX,1579943186,88,16.86,-99.89,75.2,4.7
374,Saryg-Sep,18,RU,1579943187,90,51.5,95.6,9.16,2.28
375,Abu Samrah,0,SY,1579942663,38,35.3,37.18,43.92,1.59
376,Provincia di Mantova,75,IT,1579943190,81,45.17,10.78,45.0,2.24
377,Farmington,1,US,1579943191,86,36.73,-108.22,30.2,4.7
378,Shepsi,100,RU,1579943192,85,44.04,39.15,41.97,30.67
379,Payakumbuh,85,ID,1579943193,88,-0.22,100.63,76.75,1.19
380,Shalyhyne,100,UA,1579943194,97,51.57,34.12,35.02,13.53
381,Mana,59,GF,1579943196,99,5.66,-53.78,71.38,1.36
382,Asau,38,RO,1579942674,69,46.43,26.4,45.0,2.24
383,Pontianak,75,ID,1579943198,79,-0.03,109.33,84.2,10.29
384,Midyat,0,TR,1579943200,51,37.42,41.34,44.6,4.7
385,Andenes,46,NO,1579943201,80,69.31,16.12,33.8,19.46
386,Vila do Maio,66,CV,1579943202,50,15.13,-23.22,75.2,16.11
387,Msanga,100,TZ,1579943203,94,-6.05,36.03,68.41,2.33
388,La Rochelle,47,FR,1579943205,87,46.17,-1.15,44.6,11.41
389,Isla Mujeres,75,MX,1579943206,100,21.23,-86.73,64.4,13.85
390,Sheregesh,100,RU,1579943207,82,52.92,87.99,27.55,4.09
391,Harper,21,LR,1579943208,79,4.38,-7.72,83.25,0.96
392,Vigrestad,75,NO,1579943210,100,58.57,5.7,43.0,9.17
393,Port Keats,99,AU,1579943211,77,-14.25,129.55,86.43,10.47
394,Half Moon Bay,90,US,1579942555,93,37.46,-122.43,55.4,4.05
395,Vetluga,100,RU,1579943213,82,57.86,45.78,28.99,9.78
396,Chapais,75,CA,1579943214,84,49.78,-74.85,5.0,6.93
397,La Rioja,75,ES,1579943216,100,42.25,-2.5,42.8,3.36
398,Khatassy,90,RU,1579943217,56,61.9,129.64,-49.0,4.47
399,Ixtapa,75,MX,1579943161,88,20.7,-105.2,75.0,2.24
400,Nanortalik,100,GL,1579943219,72,60.14,-45.24,20.64,27.94
401,Alta,75,NO,1579943221,92,69.97,23.27,15.8,2.24
402,Pundaguitan,10,PH,1579943222,77,6.37,126.17,82.2,8.61
403,Pisco,90,PE,1579943223,83,-13.7,-76.22,73.4,3.36
404,Bariloche,40,AR,1579943225,62,-41.15,-71.31,57.2,29.97
405,Kapit,60,MY,1579943226,67,2.02,112.93,83.98,0.36
406,Suntar,98,RU,1579943227,96,62.14,117.63,-9.0,5.84
407,Sao Filipe,65,CV,1579943228,59,14.9,-24.5,74.25,20.78
408,Gamba,81,GA,1579943229,69,-2.65,10.0,85.86,1.81
409,Katsuura,75,JP,1579943231,57,35.13,140.3,50.0,11.41
410,Los Arcos,2,PH,1579943232,79,8.63,125.99,80.38,5.01
411,Tawang,0,IN,1579943233,19,27.58,91.87,37.58,5.82
412,Ifanadiana,100,MG,1579943234,90,-21.3,47.63,68.07,2.98
413,Kutum,0,SD,1579943235,14,14.2,24.67,61.59,14.52
414,Morshansk,98,RU,1579943237,97,53.44,41.81,34.03,12.73
415,Prince Rupert,90,CA,1579942653,100,54.32,-130.32,42.8,11.41
416,Zhukovo,90,RU,1579943239,86,55.03,36.74,37.4,11.18
417,Scarborough,90,GB,1579943025,93,54.28,-0.4,45.0,5.82
418,Kuytun,96,RU,1579943242,90,54.34,101.5,13.46,7.16
419,Saint-Louis,49,SN,1579943243,17,16.33,-15.0,80.33,15.26
420,Mananjary,100,MG,1579943244,74,-21.22,48.33,78.28,10.6
421,Anito,89,PH,1579943245,81,12.45,125.29,81.43,16.35
422,Waingapu,58,ID,1579943246,73,-9.66,120.26,84.88,7.58
423,Bela,0,IN,1579943248,45,25.93,81.98,69.06,7.14
424,La Grande,1,US,1579943249,86,45.32,-118.09,45.0,11.41
425,Kampene,90,CD,1579943250,62,-3.6,26.67,80.73,1.12
426,Kysyl-Syr,81,RU,1579943251,96,63.9,122.76,-36.18,8.63
427,Nouadhibou,32,MR,1579943253,72,20.93,-17.03,59.0,14.99
428,San Andres,20,CO,1579942438,69,12.58,-81.7,78.8,8.05
429,Saint-Augustin,1,CA,1579943255,72,51.23,-58.65,6.15,10.47
430,Poum,40,NC,1579943256,76,-20.23,164.02,79.66,11.36
431,Hasaki,75,JP,1579943258,63,35.73,140.83,44.6,5.82
432,Noumea,42,NC,1579943259,78,-22.28,166.46,81.0,19.46
433,Ust'-Ilimsk,100,RU,1579943260,93,58.0,102.66,28.09,6.89
434,Iskateley,75,RU,1579943262,99,67.68,53.15,-11.49,3.51
435,Kahului,1,US,1579943263,78,20.89,-156.47,71.6,5.82
436,Luangwa,100,ZM,1579943264,63,-15.62,30.42,82.36,5.91
437,Montalto Uffugo,24,IT,1579943265,87,39.4,16.16,60.01,8.05
438,Port Hardy,75,CA,1579943266,81,50.7,-127.42,46.4,21.92
439,Mwingi,100,KE,1579943268,77,-0.93,38.06,75.31,6.98
440,Puerto Escondido,0,MX,1579943269,86,15.85,-97.07,65.57,4.43
441,Key West,75,US,1579943270,88,24.56,-81.78,71.01,4.7
442,Sorland,40,NO,1579943271,59,67.67,12.69,37.4,14.99
443,Grande Prairie,5,CA,1579943273,92,55.17,-118.8,8.6,5.82
444,Igrim,81,RU,1579943274,94,63.19,64.42,-1.68,4.41
445,Ogbomosho,0,NG,1579943275,13,8.13,4.25,78.46,10.85
446,Carballo,47,ES,1579943276,100,43.21,-8.69,46.0,5.82
447,High Rock,92,BS,1579943277,66,26.62,-78.28,72.03,4.88
448,Mapastepec,0,MX,1579943279,82,15.43,-92.9,68.85,3.36
449,Grand Gaube,75,MU,1579943280,78,-20.01,57.66,84.0,19.46
450,Jork,90,DE,1579943281,100,53.53,9.68,37.99,8.05
451,Fukuecho,75,JP,1579943282,81,32.69,128.84,51.8,17.22
452,Kulhudhuffushi,100,MV,1579943284,71,6.62,73.07,82.31,7.96
453,Bara,0,NG,1579943285,20,10.37,10.73,72.86,13.56
454,Shimoda,100,JP,1579943286,63,34.67,138.95,48.99,1.99
455,Davidson,90,US,1579943287,93,36.15,-86.78,39.2,4.7
456,Rundu,0,NA,1579943288,56,-17.93,19.77,68.0,3.36
457,Sauk Village,90,US,1579943290,98,41.49,-87.57,34.0,6.64
458,Coos Bay,90,US,1579943291,93,43.37,-124.22,52.0,2.91
459,Ozinki,95,RU,1579943292,91,51.18,49.68,30.2,18.07
460,Mareeba,40,AU,1579943294,79,-17.0,145.43,84.2,3.36
461,Hailey,1,US,1579943295,86,43.52,-114.32,26.6,9.17
462,Florianopolis,0,BR,1579943120,100,-27.61,-48.5,66.2,5.82
463,Barela,20,IN,1579943297,26,23.1,80.05,75.7,8.97
464,Lebu,0,CL,1579943298,85,-37.62,-73.65,51.85,5.64
465,Ciudad Bolivar,67,VE,1579943300,83,8.12,-63.55,73.63,6.76
466,Destin,1,US,1579943164,80,30.39,-86.5,46.4,6.93
467,Sao Jose da Coroa Grande,66,BR,1579943302,76,-8.9,-35.15,80.91,7.7
468,Erenhot,0,CN,1579943304,78,43.65,111.98,18.05,7.47
469,Mahon,20,ES,1579943305,93,39.89,4.27,55.4,6.93
470,Lensk,94,RU,1579943306,96,60.73,114.93,8.26,4.61
471,Bojnourd,75,IR,1579943307,80,37.47,57.33,30.2,16.11
472,Port Macquarie,67,AU,1579943309,74,-31.43,152.92,82.0,16.31
473,Luan,1,CH,1579943310,92,46.36,6.98,39.0,2.24
474,Kaeo,0,NZ,1579943311,90,-35.1,173.78,70.0,5.53
475,Griffith,90,US,1579943312,98,41.53,-87.42,34.0,6.64
476,Wladyslawowo,75,PL,1579943313,93,54.79,18.4,43.0,12.75
477,Arrondissement de Saint-Denis,90,FR,1579943315,100,48.92,2.33,34.0,2.24
478,Kyabram,0,AU,1579943316,20,-36.32,145.05,81.0,3.2
479,Saint Peter,40,BB,1579943318,83,13.25,-59.62,77.0,10.29
480,Joaima,100,BR,1579943319,96,-16.65,-41.03,66.76,3.49
481,Reitz,65,ZA,1579943320,53,-27.8,28.43,71.89,10.67
482,Novyy Urengoy,91,RU,1579943321,96,66.08,76.63,0.14,6.73
483,Aksu,0,CN,1579943323,54,41.12,80.26,32.72,3.22
484,Kununurra,66,AU,1579943324,74,-15.77,128.73,86.0,8.05
485,Sisimiut,100,GL,1579943325,88,66.94,-53.67,4.28,6.11
486,Halifax,40,CA,1579943047,100,44.65,-63.57,21.99,2.24
487,Lincoln,1,US,1579943104,100,40.8,-96.67,28.4,3.36
488,San Quintin,0,MX,1579943329,86,30.48,-115.95,56.97,4.21
489,Tilichiki,100,RU,1579943330,86,60.47,166.1,25.72,24.99
490,Sitka,90,US,1579943331,80,57.05,-135.33,33.8,17.22
491,Iqaluit,20,CA,1579943333,67,63.75,-68.51,-25.01,12.75
492,Mathathane,94,BW,1579943334,49,-22.27,28.75,82.06,11.14
493,Pandan,99,PH,1579943335,87,14.05,124.17,78.73,16.49
494,Zhezkazgan,38,KZ,1579943336,79,47.8,67.71,19.4,13.42
495,Kavaratti,100,IN,1579943338,66,10.57,72.64,82.76,6.06
496,Champerico,0,GT,1579943339,85,14.3,-91.92,71.6,3.15
497,Yeppoon,75,AU,1579943340,69,-23.13,150.73,82.4,8.05
498,Mahibadhoo,100,MV,1579943342,79,3.78,72.97,82.45,16.08
499,Constitucion,0,CL,1579943343,51,-35.33,-72.42,57.15,3.76
500,San Juan de la Maguana,37,DO,1579943344,1,18.81,-71.23,52.0,1.72
501,Beni Mazar,0,EG,1579943345,39,28.5,30.8,56.57,13.18
502,Kamenka,100,RU,1579943346,91,51.32,42.77,35.01,14.0
503,Sao Paulo de Olivenca,92,BR,1579943348,98,-3.38,-68.87,69.84,0.65
504,Yuancheng,81,CN,1579943349,65,36.65,107.79,32.41,6.13
505,Hermagor,90,AT,1579943350,74,46.63,13.37,42.01,6.93
506,Trenggalek,87,ID,1579943352,71,-8.05,111.72,82.83,1.95
507,Dubovskoye,100,RU,1579943353,72,47.41,42.76,38.14,28.03
508,Honningsvag,100,NO,1579943354,78,70.98,25.97,25.63,27.63
509,Antofagasta,41,CL,1579943355,83,-23.65,-70.4,73.4,10.29
510,Okhotsk,0,RU,1579943357,73,59.38,143.3,-23.1,12.08
511,Atbasar,100,KZ,1579943358,92,51.8,68.33,7.86,16.11
512,Kihei,1,US,1579943359,78,20.79,-156.47,71.6,5.82
513,Zaragoza,90,ES,1579943152,100,41.66,-0.88,45.0,6.93
514,Trinidad,22,BO,1579943362,78,-14.83,-64.9,74.16,1.81
515,Cockburn Town,9,TC,1579943363,62,21.46,-71.14,75.6,6.29
516,Muros,0,ES,1579943364,80,42.78,-9.06,50.0,1.12
517,Marathon,90,US,1579943365,96,44.9,-89.77,33.8,4.7
518,Guantanamo,20,CU,1579943367,93,20.14,-75.21,66.2,5.82
519,Dunedin,79,NZ,1579943368,83,-45.87,170.5,60.01,3.0
520,Vila Franca do Campo,40,PT,1579943370,77,37.72,-25.43,59.0,14.99
521,Marawi,67,PH,1579943371,87,8.0,124.29,82.99,3.0
522,Ketchikan,90,US,1579943373,100,55.34,-131.65,42.8,8.05
523,Nokaneng,0,BW,1579943374,35,-19.67,22.27,87.69,8.81
524,Parakai,0,NZ,1579943375,83,-36.65,174.43,70.0,11.41
525,Segou,30,ML,1579943376,8,13.43,-6.22,79.74,14.99
526,Chokurdakh,24,RU,1579943378,97,70.63,147.92,-33.79,1.5
527,Yulara,0,AU,1579943379,9,-25.24,130.99,98.6,9.17
528,Rydultowy,90,PL,1579943380,92,50.06,18.42,32.0,17.22
529,Dombarovskiy,91,RU,1579943382,87,50.76,59.54,14.07,21.72
530,Quesnel,75,CA,1579943162,100,53.0,-122.5,30.2,2.24
531,Atar,67,MR,1579943384,21,20.52,-13.05,71.46,13.8
532,Aasiaat,100,GL,1579943386,89,68.71,-52.87,12.15,5.95
533,Takaka,1,NZ,1579943387,86,-40.85,172.8,69.01,5.99
534,Pinega,100,RU,1579943388,95,64.7,43.39,8.91,5.66
535,Parrita,5,CR,1579943391,82,9.52,-84.32,69.01,4.7
536,Dawlatabad,0,AF,1579943392,47,36.41,64.91,53.49,8.75
537,Temerloh,0,MY,1579943394,41,3.45,102.42,91.6,2.37
538,Cordoba,0,AR,1579943395,77,-31.41,-64.18,69.01,3.36
